date,VIX3M,VIX9D,VVIX,SKEW
1990-01-02,,,,126.090000
1990-01-03,,,,123.340000
1990-01-04,,,,122.620000
1990-01-05,,,,121.270000
1990-01-08,,,,124.120000
1990-01-09,,,,119.820000
1990-01-10,,,,120.820000
1990-01-11,,,,107.480000
1990-01-12,,,,116.780000
1990-01-15,,,,116.160000
1990-01-16,,,,120.620000
1990-01-17,,,,123.030000
1990-01-18,,,,131.140000
1990-01-19,,,,129.310000
1990-01-22,,,,118.950000
1990-01-23,,,,117.940000
1990-01-24,,,,128.750000
1990-01-25,,,,124.330000
1990-01-26,,,,122.760000
1990-01-29,,,,124.600000
1990-01-30,,,,120.910000
1990-01-31,,,,128.220000
1990-02-01,,,,129.530000
1990-02-02,,,,132.530000
1990-02-05,,,,121.220000
1990-02-06,,,,120.300000
1990-02-07,,,,123.350000
1990-02-08,,,,124.870000
1990-02-09,,,,126.060000
1990-02-12,,,,126.990000
1990-02-13,,,,133.060000
1990-02-14,,,,131.550000
1990-02-15,,,,139.070000
1990-02-16,,,,136.610000
1990-02-20,,,,126.470000
1990-02-21,,,,129.170000
1990-02-22,,,,124.800000
1990-02-23,,,,125.820000
1990-02-26,,,,130.690000
1990-02-27,,,,131.450000
1990-02-28,,,,123.100000
1990-03-01,,,,123.960000
1990-03-02,,,,126.440000
1990-03-05,,,,124.240000
1990-03-06,,,,124.860000
1990-03-07,,,,121.080000
1990-03-08,,,,124.460000
1990-03-09,,,,125.600000
1990-03-12,,,,129.690000
1990-03-13,,,,128.070000
1990-03-14,,,,131.820000
1990-03-15,,,,133.020000
1990-03-16,,,,136.730000
1990-03-19,,,,138.690000
1990-03-20,,,,134.200000
1990-03-21,,,,132.580000
1990-03-22,,,,129.800000
1990-03-23,,,,130.760000
1990-03-26,,,,129.900000
1990-03-27,,,,135.330000
1990-03-28,,,,133.510000
1990-03-29,,,,131.200000
1990-03-30,,,,111.330000
1990-04-02,,,,126.460000
1990-04-03,,,,117.630000
1990-04-04,,,,114.130000
1990-04-05,,,,114.420000
1990-04-06,,,,114.910000
1990-04-09,,,,117.600000
1990-04-10,,,,119.090000
1990-04-11,,,,108.870000
1990-04-12,,,,121.520000
1990-04-16,,,,126.050000
1990-04-17,,,,131.240000
1990-04-18,,,,122.740000
1990-04-19,,,,120.770000
1990-04-20,,,,120.880000
1990-04-23,,,,120.030000
1990-04-24,,,,124.560000
1990-04-25,,,,127.030000
1990-04-26,,,,124.510000
1990-04-27,,,,118.840000
1990-04-30,,,,110.490000
1990-05-01,,,,111.990000
1990-05-02,,,,128.490000
1990-05-03,,,,114.270000
1990-05-04,,,,116.350000
1990-05-07,,,,117.220000
1990-05-08,,,,117.830000
1990-05-09,,,,117.270000
1990-05-10,,,,119.500000
1990-05-11,,,,119.510000
1990-05-14,,,,123.120000
1990-05-15,,,,125.100000
1990-05-16,,,,125.700000
1990-05-17,,,,121.950000
1990-05-18,,,,124.680000
1990-05-21,,,,127.350000
1990-05-22,,,,124.880000
1990-05-23,,,,118.800000
1990-05-24,,,,117.300000
1990-05-25,,,,111.930000
1990-05-29,,,,122.180000
1990-05-30,,,,119.880000
1990-05-31,,,,120.210000
1990-06-01,,,,119.330000
1990-06-04,,,,122.780000
1990-06-05,,,,121.220000
1990-06-06,,,,121.450000
1990-06-07,,,,123.990000
1990-06-08,,,,122.130000
1990-06-11,,,,132.140000
1990-06-12,,,,132.610000
1990-06-13,,,,131.510000
1990-06-14,,,,132.450000
1990-06-15,,,,138.310000
1990-06-18,,,,133.310000
1990-06-19,,,,136.210000
1990-06-20,,,,139.120000
1990-06-21,,,,142.570000
1990-06-22,,,,139.620000
1990-06-25,,,,106.800000
1990-06-26,,,,104.650000
1990-06-27,,,,106.540000
1990-06-28,,,,107.420000
1990-06-29,,,,107.310000
1990-07-02,,,,108.160000
1990-07-03,,,,107.620000
1990-07-05,,,,105.080000
1990-07-06,,,,107.270000
1990-07-09,,,,106.500000
1990-07-10,,,,105.190000
1990-07-11,,,,107.840000
1990-07-12,,,,109.710000
1990-07-13,,,,109.330000
1990-07-16,,,,108.650000
1990-07-17,,,,107.650000
1990-07-18,,,,133.750000
1990-07-19,,,,137.940000
1990-07-20,,,,109.710000
1990-07-23,,,,127.130000
1990-07-24,,,,127.610000
1990-07-25,,,,130.850000
1990-07-26,,,,131.000000
1990-07-27,,,,127.620000
1990-07-30,,,,132.440000
1990-07-31,,,,132.070000
1990-08-01,,,,131.010000
1990-08-02,,,,110.080000
1990-08-03,,,,119.600000
1990-08-06,,,,114.650000
1990-08-07,,,,119.090000
1990-08-08,,,,125.190000
1990-08-09,,,,128.900000
1990-08-10,,,,123.010000
1990-08-13,,,,119.340000
1990-08-14,,,,120.520000
1990-08-15,,,,120.040000
1990-08-16,,,,117.180000
1990-08-17,,,,117.360000
1990-08-20,,,,118.360000
1990-08-21,,,,114.520000
1990-08-22,,,,112.490000
1990-08-23,,,,110.920000
1990-08-24,,,,113.420000
1990-08-27,,,,117.690000
1990-08-28,,,,117.900000
1990-08-29,,,,118.630000
1990-08-30,,,,116.740000
1990-08-31,,,,119.480000
1990-09-04,,,,119.920000
1990-09-05,,,,119.880000
1990-09-06,,,,116.980000
1990-09-07,,,,117.820000
1990-09-10,,,,118.770000
1990-09-11,,,,119.160000
1990-09-12,,,,118.280000
1990-09-13,,,,116.910000
1990-09-14,,,,119.030000
1990-09-17,,,,116.800000
1990-09-18,,,,117.490000
1990-09-19,,,,116.480000
1990-09-20,,,,115.880000
1990-09-21,,,,118.220000
1990-09-24,,,,111.300000
1990-09-25,,,,115.720000
1990-09-26,,,,114.760000
1990-09-27,,,,112.850000
1990-09-28,,,,113.240000
1990-10-01,,,,116.560000
1990-10-02,,,,116.810000
1990-10-03,,,,115.600000
1990-10-04,,,,116.160000
1990-10-05,,,,117.230000
1990-10-08,,,,116.490000
1990-10-09,,,,112.800000
1990-10-10,,,,110.650000
1990-10-11,,,,109.780000
1990-10-12,,,,111.920000
1990-10-15,,,,112.350000
1990-10-16,,,,111.070000
1990-10-17,,,,111.740000
1990-10-18,,,,114.650000
1990-10-19,,,,117.560000
1990-10-22,,,,116.110000
1990-10-23,,,,115.130000
1990-10-24,,,,116.170000
1990-10-25,,,,114.750000
1990-10-26,,,,111.790000
1990-10-29,,,,112.350000
1990-10-30,,,,113.420000
1990-10-31,,,,113.970000
1990-11-01,,,,112.530000
1990-11-02,,,,115.290000
1990-11-05,,,,114.480000
1990-11-06,,,,114.470000
1990-11-07,,,,114.590000
1990-11-08,,,,114.660000
1990-11-09,,,,117.110000
1990-11-12,,,,115.570000
1990-11-13,,,,116.100000
1990-11-14,,,,117.020000
1990-11-15,,,,116.970000
1990-11-16,,,,119.970000
1990-11-19,,,,121.280000
1990-11-20,,,,118.280000
1990-11-21,,,,119.280000
1990-11-23,,,,116.370000
1990-11-26,,,,118.330000
1990-11-27,,,,119.450000
1990-11-28,,,,120.150000
1990-11-29,,,,117.710000
1990-11-30,,,,122.650000
1990-12-03,,,,122.240000
1990-12-04,,,,124.370000
1990-12-05,,,,127.380000
1990-12-06,,,,126.310000
1990-12-07,,,,124.430000
1990-12-10,,,,125.100000
1990-12-11,,,,125.980000
1990-12-12,,,,128.570000
1990-12-13,,,,122.570000
1990-12-14,,,,122.140000
1990-12-17,,,,120.450000
1990-12-18,,,,123.990000
1990-12-19,,,,126.310000
1990-12-20,,,,122.350000
1990-12-21,,,,129.610000
1990-12-24,,,,121.290000
1990-12-26,,,,127.300000
1990-12-27,,,,124.790000
1990-12-28,,,,127.590000
1990-12-31,,,,126.570000
1991-01-02,,,,121.350000
1991-01-03,,,,122.760000
1991-01-04,,,,121.950000
1991-01-07,,,,118.120000
1991-01-08,,,,116.760000
1991-01-09,,,,114.260000
1991-01-10,,,,117.280000
1991-01-11,,,,114.580000
1991-01-14,,,,112.380000
1991-01-15,,,,112.710000
1991-01-16,,,,115.850000
1991-01-17,,,,121.720000
1991-01-18,,,,125.610000
1991-01-21,,,,122.410000
1991-01-22,,,,117.940000
1991-01-23,,,,118.150000
1991-01-24,,,,121.900000
1991-01-25,,,,124.200000
1991-01-28,,,,122.910000
1991-01-29,,,,122.530000
1991-01-30,,,,127.440000
1991-01-31,,,,121.650000
1991-02-01,,,,121.250000
1991-02-04,,,,123.210000
1991-02-05,,,,123.920000
1991-02-06,,,,121.100000
1991-02-07,,,,121.240000
1991-02-08,,,,121.050000
1991-02-11,,,,121.530000
1991-02-12,,,,121.190000
1991-02-13,,,,123.690000
1991-02-14,,,,120.580000
1991-02-15,,,,118.940000
1991-02-19,,,,112.380000
1991-02-20,,,,114.960000
1991-02-21,,,,113.820000
1991-02-22,,,,114.920000
1991-02-25,,,,114.760000
1991-02-26,,,,108.570000
1991-02-27,,,,117.380000
1991-02-28,,,,116.370000
1991-03-01,,,,116.360000
1991-03-04,,,,117.930000
1991-03-05,,,,122.890000
1991-03-06,,,,119.400000
1991-03-07,,,,118.560000
1991-03-08,,,,118.510000
1991-03-11,,,,123.920000
1991-03-12,,,,125.660000
1991-03-13,,,,131.940000
1991-03-14,,,,101.790000
1991-03-15,,,,102.730000
1991-03-18,,,,103.530000
1991-03-19,,,,101.230000
1991-03-20,,,,102.810000
1991-03-21,,,,101.310000
1991-03-22,,,,103.400000
1991-03-25,,,,104.070000
1991-03-26,,,,106.650000
1991-03-27,,,,103.530000
1991-03-28,,,,105.670000
1991-04-01,,,,105.750000
1991-04-02,,,,109.350000
1991-04-03,,,,108.820000
1991-04-04,,,,109.350000
1991-04-05,,,,108.510000
1991-04-08,,,,104.120000
1991-04-09,,,,109.050000
1991-04-10,,,,109.560000
1991-04-11,,,,105.740000
1991-04-12,,,,116.640000
1991-04-15,,,,118.660000
1991-04-16,,,,122.710000
1991-04-17,,,,123.420000
1991-04-18,,,,106.570000
1991-04-19,,,,105.700000
1991-04-22,,,,105.820000
1991-04-23,,,,106.680000
1991-04-24,,,,107.090000
1991-04-25,,,,107.900000
1991-04-26,,,,108.510000
1991-04-29,,,,108.570000
1991-04-30,,,,109.060000
1991-05-01,,,,110.900000
1991-05-02,,,,111.430000
1991-05-03,,,,110.580000
1991-05-06,,,,112.860000
1991-05-07,,,,111.530000
1991-05-08,,,,113.960000
1991-05-09,,,,114.010000
1991-05-10,,,,113.660000
1991-05-13,,,,117.420000
1991-05-14,,,,115.690000
1991-05-15,,,,116.980000
1991-05-16,,,,117.070000
1991-05-17,,,,117.320000
1991-05-20,,,,116.420000
1991-05-21,,,,116.610000
1991-05-22,,,,116.290000
1991-05-23,,,,115.980000
1991-05-24,,,,116.190000
1991-05-28,,,,122.330000
1991-05-29,,,,120.960000
1991-05-30,,,,116.110000
1991-05-31,,,,117.200000
1991-06-03,,,,115.620000
1991-06-04,,,,114.510000
1991-06-05,,,,111.760000
1991-06-06,,,,112.280000
1991-06-07,,,,113.520000
1991-06-10,,,,112.370000
1991-06-11,,,,113.450000
1991-06-12,,,,115.110000
1991-06-13,,,,116.360000
1991-06-14,,,,121.080000
1991-06-17,,,,116.070000
1991-06-18,,,,116.710000
1991-06-19,,,,118.700000
1991-06-20,,,,119.720000
1991-06-21,,,,124.860000
1991-06-24,,,,115.960000
1991-06-25,,,,117.000000
1991-06-26,,,,116.360000
1991-06-27,,,,118.290000
1991-06-28,,,,114.980000
1991-07-01,,,,112.490000
1991-07-02,,,,112.560000
1991-07-03,,,,110.560000
1991-07-05,,,,118.180000
1991-07-08,,,,120.970000
1991-07-09,,,,113.870000
1991-07-10,,,,113.360000
1991-07-11,,,,116.530000
1991-07-12,,,,119.140000
1991-07-15,,,,122.070000
1991-07-16,,,,119.810000
1991-07-17,,,,119.250000
1991-07-18,,,,121.070000
1991-07-19,,,,123.060000
1991-07-22,,,,123.020000
1991-07-23,,,,120.080000
1991-07-24,,,,110.450000
1991-07-25,,,,111.610000
1991-07-26,,,,111.760000
1991-07-29,,,,114.300000
1991-07-30,,,,112.310000
1991-07-31,,,,111.500000
1991-08-01,,,,107.710000
1991-08-02,,,,109.760000
1991-08-05,,,,109.020000
1991-08-06,,,,108.920000
1991-08-07,,,,109.920000
1991-08-08,,,,109.620000
1991-08-09,,,,108.840000
1991-08-12,,,,109.600000
1991-08-13,,,,111.260000
1991-08-14,,,,110.700000
1991-08-15,,,,110.860000
1991-08-16,,,,112.480000
1991-08-19,,,,119.370000
1991-08-20,,,,117.230000
1991-08-21,,,,114.030000
1991-08-22,,,,110.410000
1991-08-23,,,,111.170000
1991-08-26,,,,112.740000
1991-08-27,,,,113.320000
1991-08-28,,,,114.600000
1991-08-29,,,,114.690000
1991-08-30,,,,115.360000
1991-09-03,,,,114.620000
1991-09-04,,,,114.140000
1991-09-05,,,,114.610000
1991-09-06,,,,114.500000
1991-09-09,,,,114.780000
1991-09-10,,,,114.590000
1991-09-11,,,,114.720000
1991-09-12,,,,115.240000
1991-09-13,,,,115.250000
1991-09-16,,,,109.180000
1991-09-17,,,,116.360000
1991-09-18,,,,117.850000
1991-09-19,,,,107.990000
1991-09-20,,,,120.990000
1991-09-23,,,,108.500000
1991-09-24,,,,109.780000
1991-09-25,,,,110.820000
1991-09-26,,,,108.890000
1991-09-27,,,,108.360000
1991-09-30,,,,112.130000
1991-10-01,,,,112.650000
1991-10-02,,,,111.580000
1991-10-03,,,,105.710000
1991-10-04,,,,103.930000
1991-10-07,,,,109.800000
1991-10-08,,,,111.170000
1991-10-09,,,,109.440000
1991-10-10,,,,103.820000
1991-10-11,,,,104.660000
1991-10-14,,,,107.260000
1991-10-15,,,,106.990000
1991-10-16,,,,106.170000
