date,score,market_momentum_sp500,market_momentum_sp125,stock_price_strength,stock_price_breadth,put_call_options,market_volatility_vix,market_volatility_vix_50,junk_bond_demand,safe_haven_demand
2020-08-03,50.000000,3294.610000,2981.069360,3.159948,1494.012346,0.637138,24.280000,28.785800,1.948900,4.221178
2020-08-04,50.000000,3306.510000,2980.843920,3.239748,1488.853054,0.616642,23.760000,28.697800,2.133900,3.318079
2020-08-05,50.000000,3327.770000,2980.699840,3.392572,1502.901247,0.600955,22.990000,28.597400,2.149400,5.206403
2020-08-06,50.000000,3349.160000,2980.871440,3.497091,1507.348804,0.559165,22.650000,28.498000,2.137000,4.532874
2020-08-07,50.000000,3351.280000,2980.864960,3.578177,1516.216665,0.543367,22.210000,28.370400,2.144500,5.871782
2020-08-10,50.000000,3360.470000,2980.886720,3.600092,1546.510372,0.538190,22.130000,28.262800,2.140500,4.924443
2020-08-11,50.000000,3333.690000,2980.520640,3.759564,1568.425384,0.545169,24.030000,28.178800,2.139000,3.389499
2020-08-12,50.000000,3380.350000,2980.571920,3.809530,1588.411140,0.565953,22.280000,28.087600,2.112700,5.564801
2020-08-13,50.000000,3373.430000,2980.518080,3.833969,1587.516485,0.587709,22.130000,28.017000,2.117400,5.256167
2020-08-14,50.000000,3372.850000,2980.538560,3.773085,1588.522842,0.604266,22.050000,27.941800,2.111500,4.404446
2020-08-17,50.000000,3381.990000,2980.505280,3.748473,1580.191255,0.612074,21.350000,27.878400,2.116100,4.492888
2020-08-18,50.000000,3389.780000,2980.637680,3.699011,1553.390130,0.628700,21.510000,27.792400,2.118000,3.964669
2020-08-19,50.000000,3374.850000,2980.934480,3.625775,1513.412839,0.625517,22.540000,27.691800,2.114600,5.036107
2020-08-20,50.000000,3385.510000,2982.211440,3.469241,1459.477076,0.630743,22.720000,27.594800,2.111100,5.695295
2020-08-21,50.000000,3397.160000,2984.363040,3.426475,1395.641515,0.617676,22.540000,27.229800,2.119600,5.063081
2020-08-24,50.000000,3431.280000,2986.882160,3.391200,1371.220486,0.614791,22.370000,26.955400,2.122100,7.175390
2020-08-25,50.000000,3443.620000,2990.601040,3.347242,1346.691266,0.589238,22.030000,26.708000,2.111800,6.625938
2020-08-26,50.000000,3478.730000,2994.797120,3.265679,1313.755935,0.570107,23.270000,26.500000,2.087700,8.239598
2020-08-27,50.000000,3484.550000,2997.951680,3.262905,1295.664242,0.546496,24.470000,26.320000,2.077000,8.011915
2020-08-28,50.000000,3508.010000,3001.988800,3.261673,1307.447037,0.521163,22.960000,26.120400,2.050000,7.658520
2020-08-31,50.000000,3500.310000,3004.950320,3.171838,1291.296278,0.521792,26.410000,25.946200,2.049700,7.136397
2020-09-01,50.000000,3526.650000,3008.972000,3.129408,1283.304554,0.512451,26.120000,25.833200,1.882500,6.857559
2020-09-02,50.000000,3580.840000,3013.839760,3.132041,1295.145281,0.504676,26.570000,25.737200,2.089800,7.660545
2020-09-03,2.600000,3455.060000,3019.507760,3.031996,1276.383199,0.546134,33.600000,25.732400,2.098100,3.545729
2020-09-04,3.800000,3426.960000,3023.865600,2.847042,1254.086671,0.600793,30.750000,25.703000,2.108700,2.843137
2020-09-08,3.400000,3331.840000,3028.589280,2.651572,1202.637525,0.628254,31.460000,25.637600,2.086900,0.351597
2020-09-09,50.000000,3398.960000,3035.935840,2.455431,1178.894109,0.657938,28.810000,25.578200,2.108800,0.661368
2020-09-10,50.000000,3339.190000,3040.961200,2.331162,1123.565162,0.698854,29.710000,25.563800,2.095200,-1.257764
2020-09-11,50.000000,3340.970000,3048.599920,2.209484,1079.468656,0.717294,26.870000,25.528800,2.101500,-1.308535
2020-09-14,50.000000,3383.540000,3055.434720,2.191676,1075.174145,0.680563,25.850000,25.492200,2.110200,-0.056929
2020-09-15,50.000000,3401.200000,3063.459520,2.215624,1067.414909,0.662791,25.590000,25.445200,2.112600,0.461765
2020-09-16,50.000000,3385.490000,3071.268320,2.212783,1081.014053,0.659288,26.040000,25.377400,2.107300,0.395588
2020-09-17,50.000000,3357.010000,3079.685040,2.192466,1084.089136,0.658486,26.460000,25.345000,2.100100,-0.513376
2020-09-18,50.000000,3319.470000,3088.341600,2.219147,1062.201622,0.643400,25.830000,25.276400,2.113200,-1.859391
2020-09-21,50.000000,3281.060000,3095.011440,2.109695,1003.024020,0.671277,27.780000,25.286200,2.109300,-4.250120
2020-09-22,50.000000,3315.570000,3101.731520,1.956149,953.320319,0.681688,26.860000,25.179600,2.140200,-3.841668
2020-09-23,50.000000,3236.920000,3106.586320,1.774949,869.614184,0.704004,28.580000,25.160800,2.154800,-7.489870
2020-09-24,50.000000,3246.590000,3112.227280,1.526890,805.837768,0.726122,28.510000,25.175800,2.156700,-7.853679
2020-09-25,50.000000,3298.460000,3117.601760,1.315211,767.758908,0.725698,26.380000,25.143400,2.177200,-6.860792
2020-09-28,50.000000,3351.600000,3123.737840,1.251958,767.686176,0.696495,26.190000,25.153600,2.166500,-4.845830
2020-09-29,50.000000,3335.470000,3130.657600,1.247844,744.943331,0.699039,26.270000,25.189800,2.148500,-6.074992
2020-09-30,50.000000,3363.000000,3137.346400,1.177888,745.218140,0.684229,26.370000,25.220400,1.981900,-6.313155
2020-10-01,50.000000,3380.800000,3144.483600,1.012415,753.151878,0.639638,26.700000,25.268000,1.962000,-2.195559
2020-10-02,50.000000,3348.440000,3149.961680,0.935227,775.809622,0.633940,27.630000,25.299000,2.179300,-2.773080
2020-10-05,50.000000,3408.630000,3155.955440,1.086348,827.158277,0.635523,27.960000,25.341400,2.178700,2.539118
2020-10-06,50.000000,3360.950000,3160.843200,1.323216,847.687972,0.635165,29.480000,25.436200,2.147700,-1.114383
2020-10-07,50.000000,3419.450000,3165.880240,1.495371,897.932127,0.624337,28.060000,25.488600,2.143000,2.788978
2020-10-08,50.000000,3446.830000,3171.361840,1.711055,976.975851,0.621334,26.360000,25.533800,2.128700,3.632853
2020-10-09,50.000000,3477.130000,3176.410400,1.988937,1045.173884,0.596520,25.000000,25.538600,2.125300,3.134179
2020-10-12,50.000000,3534.220000,3182.417280,2.191901,1114.512158,0.584574,25.070000,25.550800,2.120300,4.122845
2020-10-13,50.000000,3511.930000,3188.116320,2.273849,1145.761693,0.566918,26.070000,25.586600,2.118600,3.581845
2020-10-14,50.000000,3488.670000,3193.029200,2.237342,1164.397269,0.559419,26.400000,25.639400,2.126900,3.819571
2020-10-15,50.000000,3483.340000,3198.310640,2.215540,1191.015254,0.571534,26.970000,25.719000,2.129300,4.938151
2020-10-16,50.000000,3483.810000,3204.288640,2.294447,1212.086450,0.576556,27.410000,25.814200,2.140300,6.258972
2020-10-19,50.000000,3426.920000,3209.309520,2.424692,1201.249241,0.590401,29.180000,25.953600,2.134100,3.791938
2020-10-20,50.000000,3443.120000,3214.472080,2.546032,1213.197722,0.603832,29.350000,26.098000,2.127500,7.357725
2020-10-21,50.000000,3435.560000,3219.262640,2.661657,1208.979863,0.621628,28.650000,26.190400,2.114200,7.052518
2020-10-22,50.000000,3453.490000,3223.862720,2.816154,1233.084075,0.623964,28.110000,26.307000,2.113900,6.375968
2020-10-23,50.000000,3465.390000,3228.678720,2.955338,1262.525442,0.635224,27.550000,26.415400,2.108600,4.835342
2020-10-26,2.700000,3400.970000,3232.370400,2.838043,1244.345956,0.670359,32.460000,26.623600,2.112800,3.309940
2020-10-27,2.300000,3390.680000,3236.196400,2.686493,1202.027596,0.679742,33.350000,26.863600,2.135900,1.700548
2020-10-28,0.300000,3271.030000,3239.718960,2.442035,1123.003104,0.723316,40.280000,27.239000,2.151500,-2.365106
2020-10-29,1.100000,3310.110000,3243.457920,2.195849,1075.177647,0.734431,37.590000,27.540000,2.181400,-0.149090
2020-10-30,1.900000,3269.960000,3246.670080,2.021566,1025.427702,0.786331,38.020000,27.846000,2.166400,-3.184357
2020-11-02,2.800000,3310.240000,3250.364640,1.849482,1016.234618,0.768157,37.130000,28.137800,1.989500,-0.565226
2020-11-03,3.600000,3369.160000,3254.268400,1.678108,1042.485505,0.774717,35.550000,28.401400,2.220500,-0.581723
2020-11-04,50.000000,3443.440000,3258.377520,1.613880,1059.254614,0.748176,29.570000,28.552200,2.196500,0.043168
2020-11-05,50.000000,3510.450000,3263.018560,1.589325,1106.471374,0.728183,27.580000,28.638400,2.181100,1.076862
2020-11-06,50.000000,3509.440000,3268.133120,1.519058,1140.661908,0.666315,24.860000,28.646200,2.161800,-0.107836
2020-11-09,50.000000,3550.500000,3273.977120,1.770503,1201.131444,0.637878,25.750000,28.702000,2.162200,2.746133
2020-11-10,50.000000,3545.530000,3279.521360,1.859835,1264.878694,0.626761,24.800000,28.669800,2.090700,3.564787
2020-11-11,50.000000,3572.660000,3285.193040,1.774535,1305.185039,0.613345,23.450000,28.616400,2.100600,4.162451
2020-11-12,50.000000,3537.010000,3289.857840,1.746719,1307.829792,0.642584,25.350000,28.592000,2.100100,2.657464
2020-11-13,50.000000,3585.150000,3295.155520,1.675889,1342.644139,0.650271,23.100000,28.382000,2.139500,5.580628
2020-11-16,50.000000,3626.910000,3300.397920,1.922439,1405.852220,0.649638,22.450000,28.216000,2.141500,6.325964
2020-11-17,50.000000,3609.530000,3305.686080,2.182616,1467.501267,0.637773,22.710000,28.041000,2.128100,5.605081
2020-11-18,50.000000,3567.790000,3310.584800,2.391609,1501.457643,0.616730,23.840000,27.941600,2.134600,3.433140
2020-11-19,50.000000,3581.870000,3315.305600,2.527152,1543.905673,0.585427,23.110000,27.809600,2.133400,3.556433
2020-11-20,50.000000,3557.540000,3319.476880,2.615016,1571.310980,0.571677,23.700000,27.746200,2.146800,4.875175
2020-11-23,50.000000,3577.590000,3323.859760,3.005045,1623.009861,0.561105,22.660000,27.682400,2.155500,6.284710
2020-11-24,50.000000,3635.410000,3328.588560,3.591725,1695.366826,0.541129,21.640000,27.603400,2.142000,11.907551
2020-11-25,50.000000,3629.650000,3333.179920,4.141433,1746.953751,0.532024,21.250000,27.507600,2.122300,10.199231
2020-11-27,50.000000,3638.350000,3337.640160,4.575171,1779.825247,0.511960,20.840000,27.395200,2.122200,11.061959
2020-11-30,50.000000,3621.630000,3341.630240,4.957042,1774.492555,0.506035,20.570000,27.290000,2.133400,9.478696
2020-12-01,50.000000,3662.450000,3346.031040,5.315174,1783.953010,0.500482,20.770000,27.149800,1.991500,9.115019
2020-12-02,50.000000,3669.010000,3349.831680,5.465552,1805.998222,0.502054,21.170000,27.036000,2.177100,7.986529
2020-12-03,50.000000,3666.720000,3353.306320,5.632234,1835.631223,0.493975,21.280000,26.890000,2.171000,5.637949
2020-12-04,50.000000,3699.120000,3357.241840,5.874600,1887.678473,0.497029,20.790000,26.735600,2.170300,6.598989
2020-12-07,50.000000,3691.960000,3361.256400,6.092042,1914.420515,0.484977,21.300000,26.634000,2.145400,4.055871
2020-12-08,50.000000,3702.250000,3366.857600,6.087264,1945.703595,0.477055,20.680000,26.523800,2.148700,4.094619
2020-12-09,50.000000,3672.820000,3371.909680,6.354219,1966.180742,0.488199,22.270000,26.443800,2.145500,2.740949
2020-12-10,50.000000,3668.100000,3376.721760,6.704186,1985.454330,0.499238,22.520000,26.366800,2.135000,4.016333
2020-12-11,50.000000,3663.460000,3381.031520,7.025661,1975.558192,0.497890,23.310000,26.299000,2.148500,2.162534
2020-12-14,50.000000,3647.490000,3385.303520,7.271372,1931.839579,0.511607,24.720000,26.240800,2.150200,-0.007297
2020-12-15,50.000000,3694.620000,3389.937760,7.275092,1922.272461,0.526258,22.890000,26.139400,2.148000,2.233097
2020-12-16,50.000000,3701.170000,3394.765200,7.242827,1902.929798,0.516740,22.500000,25.999800,2.148000,3.692157
2020-12-17,50.000000,3722.480000,3399.602160,7.368421,1901.086899,0.501805,21.930000,25.877200,2.141800,4.088966
2020-12-18,50.000000,3709.410000,3404.227120,7.698917,1877.229893,0.510348,21.570000,25.781400,2.144100,4.633269
2020-12-21,50.000000,3694.920000,3409.383840,7.799804,1834.531791,0.517691,25.160000,25.784600,2.243800,3.408954
2020-12-22,50.000000,3687.260000,3414.211840,7.965247,1779.878367,0.512624,24.230000,25.767800,2.255600,1.269322
2020-12-23,50.000000,3690.010000,3419.659520,7.973531,1754.575037,0.516792,23.310000,25.712600,2.258400,1.743077
2020-12-24,50.000000,3703.060000,3424.858080,8.048685,1719.057190,0.542053,21.530000,25.615200,2.245300,2.016509
2020-12-28,50.000000,3735.360000,3429.938640,8.217457,1681.919085,0.542519,21.700000,25.509800,2.253300,3.291962
2020-12-29,50.000000,3727.040000,3434.828080,8.256994,1630.231744,0.548661,23.080000,25.423200,2.236100,1.394334
2020-12-30,50.000000,3732.040000,3439.644320,8.146653,1603.806844,0.562864,22.770000,25.295000,2.235500,1.077848
2020-12-31,50.000000,3756.070000,3444.255120,8.223308,1585.874546,0.581509,22.750000,25.163000,2.234300,1.866270
2021-01-04,50.000000,3700.650000,3448.697760,8.172092,1548.205787,0.587254,26.970000,25.129400,2.242500,-0.814456
2021-01-05,50.000000,3726.860000,3453.153120,7.916172,1539.052061,0.591191,25.340000,25.074000,2.234800,0.577340
2021-01-06,50.000000,3748.140000,3457.921840,8.027840,1558.227094,0.580792,25.070000,25.024400,2.217700,1.588514
2021-01-07,50.000000,3803.790000,3462.871840,8.171399,1587.149695,0.568810,22.370000,24.822600,2.188500,4.195973
2021-01-08,50.000000,3824.680000,3468.227520,8.217849,1607.003605,0.560315,21.560000,24.586800,2.186500,5.348373
2021-01-11,50.000000,3799.610000,3473.044240,8.067314,1621.559179,0.550775,24.080000,24.262800,2.181700,5.186798
2021-01-12,50.000000,3801.190000,3477.641280,8.254804,1655.543975,0.534747,23.330000,23.977600,2.182800,6.090719
2021-01-13,50.000000,3809.840000,3482.395440,8.496357,1672.350352,0.521487,22.210000,23.661400,2.188700,4.509120
2021-01-14,50.000000,3795.540000,3486.961920,8.770288,1706.074898,0.512770,23.250000,23.383800,2.201000,4.130563
2021-01-15,50.000000,3768.250000,3491.093200,8.794958,1709.535492,0.515990,24.340000,23.159600,2.188100,2.426146
2021-01-19,50.000000,3798.910000,3495.426080,8.693980,1719.671388,0.510905,23.240000,23.033000,2.191300,3.483377
2021-01-20,50.000000,3851.850000,3500.032720,8.600519,1728.588709,0.517203,21.580000,22.913000,2.190700,5.263054
2021-01-21,50.000000,3853.070000,3504.972000,8.732862,1716.461840,0.520377,21.320000,22.842200,2.185500,5.863394
2021-01-22,68.900000,3841.470000,3509.978720,8.547912,1701.649318,0.530427,21.910000,22.765400,2.175000,5.060638
2021-01-25,69.700000,3855.360000,3514.906320,8.447637,1686.095291,0.508112,23.190000,22.733200,2.182300,4.811480
2021-01-26,67.400000,3849.620000,3519.955760,8.332282,1665.917923,0.489078,23.020000,22.724600,2.190600,3.802365
2021-01-27,28.200000,3750.770000,3523.894400,8.052747,1638.863721,0.486543,37.210000,22.961800,2.189400,1.346714
2021-01-28,52.900000,3787.380000,3528.223680,7.864829,1618.868234,0.477163,30.210000,23.104000,2.189400,2.391238
2021-01-29,40.966667,3714.240000,3531.768640,7.720260,1569.520135,0.506895,33.090000,23.316800,2.189400,0.061194
2021-02-01,43.400000,3773.860000,3535.602640,7.572675,1554.936197,0.511574,30.240000,23.467400,2.188300,3.051919
2021-02-02,60.466667,3826.310000,3539.761040,7.555964,1551.934316,0.523601,25.560000,23.501800,2.193900,3.838850
2021-02-03,59.200000,3830.170000,3543.780240,7.590935,1562.635023,0.526663,22.910000,23.497800,2.178300,2.963970
2021-02-04,61.066667,3871.740000,3547.960880,7.371966,1584.495993,0.534510,21.770000,23.459200,2.164000,2.295654
2021-02-05,68.000000,3886.830000,3552.245280,7.200095,1619.379937,0.508309,20.870000,23.423400,2.160200,2.040250
2021-02-08,72.866667,3915.590000,3556.686240,7.148503,1669.763713,0.497507,21.240000,23.415400,2.147800,3.243216
2021-02-09,75.400000,3911.230000,3561.306560,7.538758,1706.359810,0.481976,21.630000,23.423000,2.148500,3.046935
2021-02-10,75.266667,3909.880000,3565.542800,7.571501,1738.067976,0.472632,21.990000,23.446000,2.145400,2.838310
2021-02-11,76.000000,3916.380000,3569.886400,7.474941,1751.971443,0.460165,21.250000,23.459600,2.152300,3.216941
2021-02-12,77.666667,3934.830000,3574.382240,7.293478,1775.212882,0.459426,19.970000,23.443600,2.145500,5.086500
2021-02-16,73.933333,3932.590000,3578.787040,7.492991,1798.609789,0.469509,21.460000,23.449400,2.133600,4.969472
2021-02-17,70.200000,3931.330000,3583.119440,7.571100,1806.734462,0.482009,21.500000,23.453800,2.119000,3.549770
2021-02-18,62.533333,3913.970000,3587.432400,7.351606,1783.638091,0.502964,22.490000,23.487800,2.130600,2.893296
2021-02-19,56.240000,3906.710000,3591.602000,7.290601,1776.635937,0.520824,22.050000,23.502800,2.133600,3.593845
2021-02-22,52.480000,3876.500000,3595.436720,7.429377,1771.183616,0.527506,23.450000,23.558200,2.117500,2.973343
2021-02-23,50.560000,3881.370000,3599.037440,7.330618,1761.053350,0.547200,23.110000,23.575000,2.105700,3.120282
2021-02-24,63.800000,3925.430000,3602.891920,7.458541,1774.755665,0.543423,21.340000,23.551400,2.103100,7.030216
2021-02-25,46.160000,3829.340000,3605.696800,7.728373,1746.279487,0.551495,28.890000,23.663000,2.100400,4.714411
2021-02-26,53.520000,3811.150000,3608.309600,7.607507,1691.960919,0.581323,27.950000,23.727600,2.090300,5.186448
2021-03-01,58.520000,3901.820000,3611.460080,7.807775,1675.282484,0.582751,23.350000,23.736800,2.134100,6.210199
2021-03-02,50.320000,3870.290000,3614.419920,7.869266,1653.748266,0.569690,24.100000,23.768800,2.094600,3.550828
2021-03-03,43.840000,3819.720000,3616.764480,7.886111,1632.531319,0.597007,26.670000,23.863600,2.098200,2.404806
2021-03-04,37.800000,3768.470000,3618.265520,7.734322,1590.730717,0.611315,28.570000,24.003600,2.088300,0.513112
2021-03-05,41.520000,3841.940000,3621.360560,7.452809,1578.109359,0.617948,24.660000,23.993600,2.083300,1.853190
2021-03-08,39.080000,3821.350000,3624.515680,7.577475,1570.846856,0.625991,25.470000,24.018400,2.079700,1.057017
2021-03-09,43.360000,3875.440000,3628.864480,7.599807,1567.207320,0.631955,24.030000,24.032800,2.071900,2.133909
2021-03-10,45.560000,3898.810000,3632.863280,7.546681,1585.975790,0.621393,22.560000,24.053400,2.087200,2.825561
2021-03-11,50.480000,3939.340000,3637.664480,7.741893,1614.657593,0.589390,21.910000,24.057600,2.094500,3.642435
2021-03-12,53.720000,3943.340000,3642.483440,8.067577,1653.721168,0.553286,20.690000,24.009800,2.077000,3.682245
2021-03-15,56.520000,3968.940000,3647.166640,8.281884,1695.693999,0.534309,20.030000,23.955000,2.063000,3.548115
2021-03-16,54.800000,3962.710000,3651.658720,8.285863,1701.715103,0.539615,19.790000,23.895800,2.067400,3.476876
