date,sigma_ewma,sigma_har_fc,state,mult,w_vol,w_target,w_exec,reason,ret_rule,ret_bh,dd_rule,w_S-10bp,w_S-HAR,w_S-VT12.5,w_S-VT14,w_S-VT15,w_S-VT7.5,w_S-daily,w_S-grid,w_S-grid-min,w_S-lag,w_S-mild,w_S-monthly,w_S-noesc,w_S-nofloor,w_S-volonly
2003-01-02,0.2438895494,0.2032629717,normal,1,0.4100216686,0.4100216686,0.4,init,,,,0.4,0.5,0.5,0.5,0.6,0.3,0.4,0.5,0.5,,0.4,0.4,0.4,0.4,0.4
2003-01-03,0.2367608258,0.1729362216,normal,1,0.4223671702,0.4223671702,0.4,hold,0.00122988071,0.003074701774,0,0.4,0.5,0.5,0.5,0.6,0.3,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4
2003-01-06,0.2393892987,0.1891990385,normal,1,0.4177296168,0.4177296168,0.4,hold,0.007049590898,0.01762397724,0,0.4,0.5,0.5,0.5,0.6,0.3,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4
2003-01-07,0.2322962284,0.1773662685,normal,1,0.4304848198,0.4304848198,0.4,hold,-0.0009893948098,-0.002473487025,-0.0009893948098,0.4,0.5,0.5,0.5,0.6,0.3,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4
2003-01-08,0.2322231197,0.1806929533,normal,1,0.4306203453,0.4306203453,0.4,hold,-0.005780363393,-0.01445090848,-0.006764039142,0.4,0.5,0.5,0.5,0.6,0.3,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4
2003-01-09,0.2329941453,0.1778926043,normal,1,0.429195334,0.429195334,0.4,hold,0.006215077456,0.01553769364,-0.0005910007131,0.4,0.5,0.5,0.5,0.6,0.3,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4
2003-01-10,0.2261382816,0.1876430682,normal,1,0.4422073046,0.4422073046,0.4,hold,0.001077533171,0.002693832928,0,0.4,0.5,0.5,0.5,0.6,0.3,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4
2003-01-13,0.2192527799,0.180767516,normal,1,0.4560945593,0.4560945593,0.4,hold,-0.0001288898223,-0.0003222245559,-0.0001288898223,0.4,0.5,0.5,0.5,0.6,0.3,0.45,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4
2003-01-14,0.212941838,0.1799814888,normal,1,0.4696118006,0.4696118006,0.4,hold,0.001290000074,0.003225000185,0,0.4,0.5,0.5,0.5,0.6,0.3,0.45,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4
2003-01-15,0.2100954189,0.1794186256,normal,1,0.4759742051,0.4759742051,0.4,hold,-0.003985971231,-0.009964928077,-0.003985971231,0.4,0.5,0.5,0.5,0.6,0.3,0.45,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4
2003-01-16,0.2043244688,0.1785744096,normal,1,0.4894176434,0.4894176434,0.4,hold,-0.001645107428,-0.004112768569,-0.005624521307,0.4,0.5,0.5,0.75,0.6,0.3,0.45,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4
2003-01-17,0.2063871913,0.1989419466,normal,1,0.4845261925,0.4845261925,0.4,hold,-0.005911707553,-0.01477926888,-0.01150297834,0.4,0.5,0.6,0.75,0.75,0.3,0.45,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4
2003-01-21,0.2091769191,0.1871785847,caution,0.5,0.4780642169,0.25,0.25,escalation,-0.006295633126,-0.01555274927,-0.01772619293,0.25,0.25,0.3,0.75,0.35,0.2,0.25,0.5,0.5,0.4,0.35,0.25,0.4,0.25,0.4
2003-01-22,0.2082565164,0.19738305,caution,0.5,0.4801770516,0.25,0.25,hold,-0.003025192228,-0.01210076891,-0.02069776002,0.25,0.25,0.3,0.75,0.35,0.2,0.25,0.5,0.5,0.25,0.35,0.25,0.4,0.25,0.4
2003-01-23,0.2033030126,0.195203598,caution,0.5,0.4918766265,0.25,0.25,hold,0.001530982438,0.00612392975,-0.01919846549,0.25,0.25,0.3,0.75,0.35,0.2,0.25,0.5,0.5,0.25,0.35,0.25,0.4,0.25,0.4
2003-01-24,0.2226280285,0.1973888423,caution,0.5,0.4491797403,0.25,0.25,hold,-0.006566189621,-0.02626475848,-0.02563859434,0.25,0.25,0.3,0.75,0.35,0.2,0.25,0.5,0.5,0.25,0.35,0.25,0.2,0.25,0.4
2003-01-27,0.2223734468,0.2105283927,caution,0.5,0.4496939786,0.25,0.25,hold,-0.003415089925,-0.0136603597,-0.02896612616,0.25,0.25,0.3,0.75,0.35,0.2,0.25,0.5,0.5,0.25,0.35,0.25,0.2,0.25,0.4
2003-01-28,0.2174937738,0.1998161283,caution,0.5,0.4597832768,0.25,0.25,hold,0.001848534661,0.007394138645,-0.02717113639,0.25,0.25,0.3,0.75,0.35,0.2,0.25,0.5,0.5,0.25,0.35,0.25,0.2,0.25,0.4
2003-01-29,0.2128988049,0.2154735711,caution,0.5,0.4697067231,0.25,0.25,hold,0.001893202044,0.007572808175,-0.0253293748,0.25,0.25,0.3,0.75,0.35,0.2,0.25,0.5,0.5,0.25,0.35,0.25,0.2,0.25,0.4
2003-01-30,0.2265142763,0.2042984757,caution,0.5,0.4414732777,0.25,0.25,hold,-0.005926302208,-0.02370520883,-0.03110556747,0.25,0.25,0.3,0.75,0.35,0.2,0.25,0.5,0.5,0.25,0.35,0.25,0.2,0.25,0.4
2003-01-31,0.2318604679,0.2003548263,caution,0.5,0.4312938765,0.25,0.25,hold,0.004826693375,0.0193067735,-0.02642901113,0.25,0.25,0.3,0.75,0.35,0.2,0.25,0.5,0.5,0.25,0.35,0.25,0.2,0.25,0.4
2003-02-03,0.2249279945,0.1837388275,caution,0.5,0.4445867231,0.25,0.25,hold,0.0004938404717,0.001975361887,-0.02594822238,0.25,0.25,0.3,0.75,0.35,0.2,0.25,0.5,0.5,0.25,0.35,0.25,0.2,0.25,0.4
2003-02-04,0.2214520134,0.2032602159,caution,0.5,0.4515650973,0.25,0.25,hold,-0.002464472366,-0.009857889463,-0.02834874607,0.25,0.25,0.3,0.75,0.35,0.2,0.25,0.5,0.5,0.25,0.35,0.25,0.2,0.25,0.4
2003-02-05,0.2160664996,0.203157926,caution,0.5,0.462820475,0.25,0.25,hold,-0.001551796557,-0.006207186228,-0.02985655114,0.25,0.25,0.3,0.75,0.35,0.2,0.25,0.5,0.5,0.25,0.35,0.25,0.2,0.25,0.4
2003-02-06,0.2102884681,0.1960301939,caution,0.5,0.4755372509,0.25,0.25,hold,-0.00117851248,-0.00471404992,-0.0309998773,0.25,0.25,0.3,0.75,0.35,0.2,0.25,0.5,0.5,0.25,0.35,0.25,0.2,0.25,0.4
2003-02-07,0.2093921665,0.2034026713,caution,0.5,0.4775727844,0.25,0.25,hold,-0.003049259503,-0.01219703801,-0.03395461013,0.25,0.25,0.3,0.75,0.35,0.2,0.25,0.5,0.5,0.25,0.35,0.25,0.2,0.25,0.4
2003-02-10,0.2048546912,0.2024086974,caution,0.5,0.4881508907,0.25,0.25,hold,0.001768217298,0.007072869191,-0.03224643196,0.25,0.25,0.3,0.75,0.35,0.2,0.25,0.5,0.5,0.25,0.35,0.25,0.2,0.25,0.4
2003-02-11,0.2004324799,0.2107089669,caution,0.5,0.4989211332,0.25,0.25,hold,-0.001725947484,-0.006903789937,-0.0339167238,0.25,0.25,0.3,0.75,0.35,0.2,0.25,0.5,0.5,0.25,0.35,0.25,0.2,0.25,0.4
2003-02-12,0.2041259568,0.1966755862,caution,0.5,0.4898936009,0.25,0.25,hold,-0.003985368877,-0.01594147551,-0.03776692202,0.25,0.25,0.3,0.75,0.35,0.2,0.25,0.5,0.5,0.25,0.35,0.25,0.2,0.25,0.4
2003-02-13,0.1982601831,0.2050237983,caution,0.5,0.5043877114,0.2521938557,0.25,hold,0.0007611709216,0.003044683686,-0.03703449818,0.25,0.25,0.3,0.75,0.35,0.2,0.25,0.5,0.5,0.25,0.35,0.25,0.2,0.25,0.4
2003-02-14,0.209804359,0.2087670166,caution,0.5,0.4766345204,0.25,0.25,hold,0.005464530454,0.02185812181,-0.03177234387,0.25,0.25,0.3,0.75,0.35,0.2,0.25,0.5,0.5,0.25,0.35,0.25,0.2,0.25,0.4
2003-02-18,0.2144125054,0.1974131805,caution,0.5,0.4663907071,0.25,0.25,hold,0.004396853249,0.01758741299,-0.02751518896,0.25,0.25,0.3,0.75,0.35,0.2,0.25,0.5,0.5,0.25,0.35,0.25,0.2,0.25,0.4
2003-02-19,0.2088878916,0.1944332312,caution,0.5,0.4787256899,0.25,0.25,hold,-0.001313825142,-0.005255300568,-0.02879286395,0.25,0.25,0.3,0.75,0.35,0.2,0.25,0.5,0.5,0.25,0.35,0.25,0.2,0.25,0.4
2003-02-20,0.2062447025,0.1884929012,caution,0.5,0.4848609385,0.25,0.25,hold,-0.002494713457,-0.009978853829,-0.03121574746,0.25,0.25,0.3,0.75,0.35,0.2,0.25,0.5,0.5,0.25,0.35,0.25,0.2,0.25,0.4
