date,y,clim,p_vix,p_vix_driftless,p_vix_bgk,p_m1,p_m2,p_m3,p_m3_pk,p_m3_har96,p_v0ref,har_fc_20,refit_year,block24,block18
2003-01-02,1,0.2119895743,0.4854740742,0.4733088714,0.4088693716,0.2905170846,0.2955008323,0.3065187689,0.3104000315,0.3080284691,,0.2032629717,2003,1,1
2003-01-03,1,0.2119895743,0.4725202219,0.4606751662,0.3970809493,0.2796813207,0.2676104962,0.2842767477,0.2854863691,0.3122324897,,0.1729362216,2003,1,1
2003-01-06,1,0.2119895743,0.4767759445,0.4648256621,0.4009497468,0.2832165198,0.28322831,0.2864526171,0.2912237071,0.291929703,,0.1891990385,2003,1,1
2003-01-07,1,0.2119895743,0.4807930304,0.4687434654,0.4046052378,0.2865755579,0.2781556449,0.2848032357,0.2864244896,0.2969596994,,0.1773662685,2003,1,1
2003-01-08,1,0.2119895743,0.4879652881,0.4757385683,0.4111406623,0.2926268081,0.2859630078,0.2973972199,0.2988354586,0.3070702609,,0.1806929533,2003,1,1
2003-01-09,1,0.2119895743,0.4644070939,0.4527627705,0.389716436,0.2730076799,0.2707416081,0.2756129169,0.2774665428,0.2916076439,,0.1778926043,2003,1,1
2003-01-10,1,0.2119895743,0.4657419462,0.454064585,0.3909271283,0.2740998001,0.2766757152,0.2779163075,0.2779885115,0.2866295435,,0.1876430682,2003,1,1
2003-01-13,1,0.2119895743,0.4765921103,0.4646463724,0.4007825447,0.2830633143,0.2791387831,0.2814052165,0.2801890132,0.2894115917,,0.180767516,2003,1,1
2003-01-14,1,0.2119895743,0.470464368,0.4586701618,0.3952134304,0.2779820922,0.2739161785,0.27515756,0.2748887328,0.2862386403,,0.1799814888,2003,1,1
2003-01-15,1,0.2119895743,0.4876106358,0.4753926726,0.4108172358,0.2923259507,0.2853820258,0.2899147156,0.292040088,0.2951023484,,0.1794186256,2003,1,1
