date,y,clim,p_p2,p_m1,p_h,p_hmm_high,p20,q20,x_hmm,p_ens,lo,hi,state_p2,state_ens3,refit_year,block24,block18,theta_id
2003-01-02,1,0.2119895743,0.3065187689,0.2905170846,0.3027700436,0.9999998414,0.7618973159,0.9889178285,9.210240367,0.3065187689,0.2905170846,0.3065187689,normal,normal,2003,1,1,81ce7afb1473
2003-01-03,1,0.2119895743,0.2842767477,0.2796813207,0.272522228,0.9990172105,0.7614529843,0.9882989161,6.924132295,0.2842767477,0.272522228,0.2842767477,normal,normal,2003,1,1,81ce7afb1473
2003-01-06,1,0.2119895743,0.2864526171,0.2832165198,0.3027700436,0.9999466093,0.7618732451,0.9888843001,9.210240367,0.2864526171,0.2832165198,0.3027700436,normal,normal,2003,1,1,81ce7afb1473
2003-01-07,1,0.2119895743,0.2848032357,0.2865755579,0.2766518629,0.9992867641,0.7615748726,0.988468695,7.24498478,0.2848032357,0.2766518629,0.2865755579,normal,normal,2003,1,1,81ce7afb1473
2003-01-08,1,0.2119895743,0.2973972199,0.2926268081,0.3027700436,0.999964174,0.7618811877,0.9888953633,9.210240367,0.2973972199,0.2926268081,0.3027700436,normal,normal,2003,1,1,81ce7afb1473
2003-01-09,1,0.2119895743,0.2756129169,0.2730076799,0.3027700436,0.9999368902,0.7618688503,0.9888781785,9.210240367,0.2756129169,0.2730076799,0.3027700436,normal,normal,2003,1,1,81ce7afb1473
2003-01-10,1,0.2119895743,0.2779163075,0.2740998001,0.2846445623,0.9996133906,0.7617225684,0.9886744216,7.857709063,0.2779163075,0.2740998001,0.2846445623,normal,normal,2003,1,1,81ce7afb1473
2003-01-13,1,0.2119895743,0.2814052165,0.2830633143,0.2710809923,0.998900107,0.7614000318,0.9882251582,6.811441901,0.2814052165,0.2710809923,0.2830633143,normal,normal,2003,1,1,81ce7afb1473
2003-01-14,1,0.2119895743,0.27515756,0.2779820922,0.2683033807,0.9986322131,0.761278894,0.9880564245,6.593192533,0.27515756,0.2683033807,0.2779820922,normal,normal,2003,1,1,81ce7afb1473
2003-01-15,1,0.2119895743,0.2899147156,0.2923259507,0.2899387955,0.9997408556,0.7617802063,0.9887547057,8.257866018,0.2899147156,0.2899147156,0.2923259507,normal,normal,2003,1,1,81ce7afb1473
2003-01-16,1,0.2119895743,0.2858518861,0.2847460815,0.2369575225,0.9823869525,0.7539330197,0.977824308,4.021345315,0.2858518861,0.2369575225,0.2858518861,normal,normal,2003,1,1,81ce7afb1473
2003-01-17,1,0.2119895743,0.3081165999,0.2951766747,0.270167778,0.9988185643,0.7613631593,0.9881737983,6.739842776,0.3081165999,0.270167778,0.3081165999,normal,normal,2003,1,1,81ce7afb1473
2003-01-21,1,0.2119895743,0.3297541208,0.3226533785,0.2789168648,0.9994010344,0.761626544,0.9885406685,7.419707175,0.3297541208,0.2789168648,0.3297541208,caution,normal,2003,1,1,81ce7afb1473
2003-01-22,1,0.2119895743,0.3542830581,0.3422656616,0.2719071627,0.9989688883,0.7614311337,0.9882684802,6.876086056,0.3542830581,0.2719071627,0.3542830581,caution,caution,2003,1,1,81ce7afb1473
2003-01-23,1,0.2119895743,0.3341361097,0.3218054519,0.2405901016,0.9870118054,0.756024312,0.9807372828,4.330641166,0.3341361097,0.2405901016,0.3341361097,caution,caution,2003,1,1,81ce7afb1473
2003-01-24,0,0.2119895743,0.3872185404,0.3747405802,0.3027700436,0.9999987306,0.7618968136,0.9889171289,9.210240367,0.3872185404,0.3027700436,0.3872185404,caution,caution,2003,1,1,81ce7afb1473
2003-01-27,0,0.2119895743,0.4278072747,0.4125253702,0.2980101065,0.9998580246,0.7618331884,0.9888285049,8.859715063,0.4278072747,0.2980101065,0.4278072747,caution,caution,2003,1,1,81ce7afb1473
2003-01-28,0,0.2119895743,0.3925491815,0.3799499385,0.2706258277,0.9988602141,0.7613819928,0.9882000315,6.775774435,0.3925491815,0.2706258277,0.3925491815,caution,caution,2003,1,1,81ce7afb1473
2003-01-29,1,0.2119895743,0.3885859567,0.3716069019,0.2716396541,0.9989471154,0.7614212883,0.9882547665,6.855168205,0.3885859567,0.2716396541,0.3885859567,caution,caution,2003,1,1,81ce7afb1473
2003-01-30,0,0.2119895743,0.3947401961,0.3723612366,0.3027700436,0.999999467,0.7618971466,0.9889175927,9.210240367,0.3947401961,0.3027700436,0.3947401961,caution,caution,2003,1,1,81ce7afb1473
2003-01-31,0,0.2119895743,0.381322822,0.3704727234,0.3027700436,0.9999869003,0.7618914642,0.9889096776,9.210240367,0.381322822,0.3027700436,0.381322822,caution,caution,2003,1,1,81ce7afb1473
2003-02-03,0,0.2119895743,0.3718681927,0.3685752658,0.2849957497,0.9996235656,0.7617271694,0.9886808303,7.884390287,0.3718681927,0.2849957497,0.3718681927,caution,caution,2003,1,1,81ce7afb1473
2003-02-04,0,0.2119895743,0.4023841436,0.3900443395,0.3002418534,0.9998795864,0.7618429383,0.9888420856,9.024457397,0.4023841436,0.3002418534,0.4023841436,caution,caution,2003,1,1,81ce7afb1473
2003-02-05,0,0.2119895743,0.4071950115,0.3933907588,0.287387149,0.9996859213,0.7617553658,0.9887201052,8.065552854,0.4071950115,0.287387149,0.4071950115,caution,caution,2003,1,1,81ce7afb1473
2003-02-06,0,0.2119895743,0.4077609716,0.3970615104,0.2838283861,0.9995886374,0.7617113753,0.9886588307,7.79562393,0.4077609716,0.2838283861,0.4077609716,caution,caution,2003,1,1,81ce7afb1473
2003-02-07,0,0.2119895743,0.4218891585,0.4047589803,0.2871920619,0.9996812574,0.7617532568,0.9887171676,8.050807737,0.4218891585,0.2871920619,0.4218891585,caution,caution,2003,1,1,81ce7afb1473
2003-02-10,0,0.2119895743,0.4159179046,0.4045280979,0.2590463954,0.9971433845,0.760605667,0.9871186823,5.855257049,0.4159179046,0.2590463954,0.4159179046,caution,caution,2003,1,1,81ce7afb1473
2003-02-11,0,0.2119895743,0.4200838888,0.4009301481,0.2637874795,0.9980447444,0.7610132491,0.987686406,6.235277191,0.4200838888,0.2637874795,0.4200838888,caution,caution,2003,1,1,81ce7afb1473
2003-02-12,0,0.2119895743,0.4269758485,0.4084343266,0.3027700436,0.9999144568,0.7618587062,0.9888640488,9.210240367,0.4269758485,0.3027700436,0.4269758485,caution,caution,2003,1,1,81ce7afb1473
2003-02-13,0,0.2119895743,0.4231099623,0.4011633387,0.2401870161,0.9865664986,0.7558229506,0.9804568052,4.296479042,0.4231099623,0.2401870161,0.4231099623,caution,caution,2003,1,1,81ce7afb1473
2003-02-14,0,0.2119895743,0.4030688396,0.3883600921,0.2873026167,0.9996839091,0.7617544558,0.9887188378,8.059164452,0.4030688396,0.2873026167,0.4030688396,caution,caution,2003,1,1,81ce7afb1473
2003-02-18,1,0.2119895743,0.3738147115,0.3697148287,0.2881456593,0.999703399,0.7617632689,0.9887311136,8.122826123,0.3738147115,0.2881456593,0.3738147115,caution,caution,2003,1,1,81ce7afb1473
2003-02-19,1,0.2119895743,0.3776901959,0.3722356006,0.260790835,0.9975165025,0.7607743856,0.9873536915,5.99560083,0.3776901959,0.260790835,0.3776901959,caution,caution,2003,1,1,81ce7afb1473
2003-02-20,0,0.2119895743,0.3788197843,0.370346505,0.2734728146,0.9990873589,0.7614847044,0.9883430992,6.998254831,0.3788197843,0.2734728146,0.3788197843,caution,caution,2003,1,1,81ce7afb1473
2003-02-21,1,0.2119895743,0.3731889199,0.3586925917,0.267357174,0.9985263214,0.7612310113,0.9879897284,6.518518813,0.3731889199,0.267357174,0.3731889199,caution,caution,2003,1,1,81ce7afb1473
2003-02-24,0,0.2119895743,0.3876656113,0.3805655248,0.3027700436,0.9999286158,0.7618651087,0.9888729669,9.210240367,0.3876656113,0.3027700436,0.3876656113,caution,caution,2003,1,1,81ce7afb1473
2003-02-25,0,0.2119895743,0.3916368983,0.3776018548,0.2687313247,0.9986775035,0.7612993737,0.9880849508,6.626910665,0.3916368983,0.2687313247,0.3916368983,caution,caution,2003,1,1,81ce7afb1473
2003-02-26,0,0.2119895743,0.3953269545,0.3800731456,0.3027700436,0.9999195375,0.7618610036,0.9888672489,9.210240367,0.3953269545,0.3027700436,0.3953269545,caution,caution,2003,1,1,81ce7afb1473
2003-02-27,0,0.2119895743,0.3765239952,0.3623140646,0.2830566163,0.999563732,0.7617001135,0.988643144,7.736817497,0.3765239952,0.2830566163,0.3765239952,caution,caution,2003,1,1,81ce7afb1473
2003-02-28,1,0.2119895743,0.3567034863,0.350559143,0.2703756463,0.9988376562,0.7613717924,0.9881858233,6.756153734,0.3567034863,0.2703756463,0.3567034863,caution,caution,2003,1,1,81ce7afb1473
2003-03-03,0,0.2119895743,0.3766437296,0.3610243371,0.2709600809,0.9988896519,0.7613953041,0.988218573,6.801970751,0.3766437296,0.2709600809,0.3766437296,caution,caution,2003,1,1,81ce7afb1473
2003-03-04,0,0.2119895743,0.3868337714,0.3787158557,0.294519955,0.9998160474,0.7618142069,0.9888020654,8.60064848,0.3868337714,0.294519955,0.3868337714,caution,caution,2003,1,1,81ce7afb1473
2003-03-05,0,0.2119895743,0.3683033043,0.3603779422,0.2599126138,0.9973353716,0.7606924808,0.9872396058,5.925022496,0.3683033043,0.2599126138,0.3683033043,caution,caution,2003,1,1,81ce7afb1473
2003-03-06,0,0.2119895743,0.384864948,0.3729887733,0.2653688612,0.9982754341,0.7611175636,0.9878317064,6.361053839,0.384864948,0.2653688612,0.384864948,caution,caution,2003,1,1,81ce7afb1473
2003-03-07,0,0.2119895743,0.3899032301,0.3693353249,0.2533307784,0.9954635093,0.7598460515,0.9860606088,5.391054734,0.3899032301,0.2533307784,0.3899032301,caution,caution,2003,1,1,81ce7afb1473
2003-03-10,0,0.2119895743,0.4168399418,0.3965898987,0.3027700436,0.9999976906,0.7618963434,0.9889164738,9.210240367,0.4168399418,0.3027700436,0.4168399418,caution,caution,2003,1,1,81ce7afb1473
